time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2021-03-22T16:25:30.000Z,52.93516954,-1.20041131,66.0,10.72,73.6,2.17,0,gps,,,,,,,,75,
2021-03-22T16:25:44.000Z,52.93501892,-1.20004617,74.0,16.08,156.1,1.29,0,gps,0.9,0.8,1.2,47.0,,,,75,
2021-03-22T16:25:56.000Z,52.93501015,-1.20005103,64.0,17.152,114.3,1.43,0,gps,0.7,0.7,1.0,47.0,,,,75,
2021-03-22T16:26:09.000Z,52.93523474,-1.20006353,62.0,26.800001,300.9,0.89,0,gps,1.0,0.9,1.3,47.0,,,,75,
2021-03-22T16:26:21.000Z,52.93526093,-1.19952945,67.0,13.936001,70.3,1.03,0,gps,0.7,0.7,1.0,47.0,,,,75,
2021-03-22T16:26:33.000Z,52.93548678,-1.19964033,69.0,17.152,38.4,1.22,0,gps,0.7,0.7,1.0,47.0,,,,74,
2021-03-22T16:26:46.000Z,52.93554629,-1.19941808,76.0,18.224,42.1,0.57,0,gps,0.7,0.7,1.0,47.0,,,,74,
2021-03-22T16:27:08.000Z,52.93570577,-1.19893872,80.0,21.44,64.4,0.83,0,gps,0.7,0.7,1.0,47.0,,,,74,
2021-03-22T16:27:20.000Z,52.93600322,-1.19877628,77.0,17.152,40.9,1.3,0,gps,0.7,0.7,1.0,47.0,,,,74,
2021-03-22T16:27:33.000Z,52.93599958,-1.19847532,77.0,12.864,139.8,0.49,0,gps,0.9,0.7,1.1,47.0,,,,74,
2021-03-22T16:27:54.000Z,52.93612912,-1.19801566,78.0,13.936001,65.2,1.71,0,gps,0.8,0.7,1.1,47.0,,,,74,
2021-03-22T16:28:06.000Z,52.93618508,-1.19781173,76.0,13.936001,61.8,1.19,0,gps,1.0,0.8,1.3,47.0,,,,74,
2021-03-22T16:28:19.000Z,52.93632677,-1.19807792,73.0,26.800001,322.5,1.74,0,gps,0.9,0.7,1.2,47.0,,,,74,
2021-03-22T16:28:33.000Z,52.93649578,-1.19738755,82.0,23.584,70.1,2.1,0,gps,0.9,0.8,1.2,47.0,,,,74,
2021-03-22T16:28:53.000Z,52.93651176,-1.1969061,96.0,17.152,346.3,0.63,0,gps,1.0,0.8,1.3,47.0,,,,74,
2021-03-22T16:28:58.663Z,52.9367372,-1.196681,92.0,21.795,,,0,network,,,,,,,,74,
2021-03-22T16:29:19.000Z,52.93661909,-1.19641971,94.0,30.016,101.6,1.41,0,gps,1.1,0.9,1.4,47.0,,,,74,
2021-03-22T16:29:30.852Z,52.9369169,-1.1961418,92.80000305175781,13.795,,,0,network,,,,,,,,74,
2021-03-22T16:29:47.744Z,52.9370156,-1.1959474,88.4000015258789,21.258,,,0,network,,,,,,,,74,
2021-03-22T16:29:58.873Z,52.9372297,-1.1956866,88.4000015258789,25.123,,,0,network,,,,,,,,74,
2021-03-22T16:30:17.000Z,52.93711669,-1.19548135,71.0,13.936001,,0.0,0,gps,1.2,0.8,1.4,47.0,,,,74,
2021-03-22T16:30:29.000Z,52.93713628,-1.19544698,81.0,18.224,,0.0,0,gps,1.1,0.9,1.4,47.0,,,,74,
2021-03-22T16:30:43.000Z,52.93721246,-1.19539681,80.0,16.08,,0.0,0,gps,0.8,0.8,1.1,47.0,,,,74,
2021-03-22T16:30:56.000Z,52.93726084,-1.19526591,84.0,21.44,358.0,2.39,0,gps,1.4,0.9,1.7,47.0,,,,74,
2021-03-22T16:31:09.000Z,52.93764925,-1.19473425,78.0,11.792,39.6,2.48,0,gps,0.9,0.7,1.1,47.0,,,,74,
2021-03-22T16:31:21.540Z,52.9379741,-1.1945022,91.70000457763672,28.1,,,0,network,,,,,,,,74,
2021-03-22T16:31:41.000Z,52.93803835,-1.19416061,79.0,35.376,7.8,3.32,0,gps,0.9,0.8,1.2,47.0,,,,74,
2021-03-22T16:31:46.395Z,52.9381191,-1.1940637,93.5,22.688,,,0,network,,,,,,,,74,
2021-03-22T16:32:05.000Z,52.93808498,-1.19385631,68.0,22.512001,335.8,1.51,0,gps,1.1,0.8,1.4,47.0,,,,74,
2021-03-22T16:32:20.000Z,52.93809372,-1.19330121,69.0,25.728,37.8,1.64,0,gps,1.1,0.9,1.4,47.0,,,,74,
2021-03-22T16:32:34.000Z,52.93840269,-1.19327388,64.0,21.44,23.5,1.23,0,gps,0.9,0.8,1.2,47.0,,,,74,
2021-03-22T16:32:54.000Z,52.93857793,-1.19318052,82.0,21.44,,0.0,0,gps,0.8,0.7,1.1,47.0,,,,74,
2021-03-22T16:33:07.000Z,52.93857476,-1.19294573,80.0,12.864,,0.0,0,gps,0.8,0.7,1.1,47.0,,,,74,
2021-03-22T16:33:20.000Z,52.93863258,-1.19282281,79.0,11.792,29.7,2.71,0,gps,0.8,0.8,1.1,47.0,,,,74,
2021-03-22T16:33:32.000Z,52.93880753,-1.19237377,74.0,10.72,11.9,1.87,0,gps,0.8,0.8,1.1,47.0,,,,74,
2021-03-22T16:33:42.728Z,52.93891364,-1.19209468,71.0,9.648001,93.6,3.05,12,gps,1.0,0.9,1.3,47.0,,,,74,
2021-03-22T16:33:56.000Z,52.93899297,-1.19171862,72.0,18.224,63.2,2.34,0,gps,1.2,0.9,1.5,47.0,,,,74,
2021-03-22T16:34:08.000Z,52.93912777,-1.19126438,84.0,15.008,43.9,1.47,0,gps,0.8,0.7,1.1,47.0,,,,74,
2021-03-22T16:34:20.000Z,52.93917995,-1.19128061,75.0,9.648001,58.6,1.45,0,gps,0.8,0.8,1.1,47.0,,,,74,
2021-03-22T16:34:32.000Z,52.9392477,-1.1910405,86.0,17.152,80.7,3.08,0,gps,0.8,0.7,1.1,47.0,,,,74,
2021-03-22T16:34:44.000Z,52.93935219,-1.19052973,87.0,15.008,55.2,1.64,0,gps,1.0,0.7,1.2,47.0,,,,74,
2021-03-22T16:34:56.000Z,52.93951614,-1.19035696,92.0,9.648001,21.8,2.19,0,gps,0.8,0.7,1.1,47.0,,,,74,
2021-03-22T16:35:08.000Z,52.93976123,-1.19041911,73.0,16.08,5.3,2.59,0,gps,0.7,0.7,1.0,47.0,,,,74,
2021-03-22T16:35:24.000Z,52.9397796,-1.19011763,77.0,17.152,63.9,0.33,0,gps,0.9,0.8,1.2,47.0,,,,74,
