location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20100101T0000,6.5705285,1.3405286,4.5146947
20100102T0000,0.8905287,-2.9594715,-0.97238797
20100103T0000,1.9105287,-3.1394715,-0.8186381
20100104T0000,-0.25947133,-5.4994717,-3.2815552
20100105T0000,-0.41947132,-7.1094713,-3.2798882
20100106T0000,1.1705287,-4.1294713,-2.0103047
20100107T0000,4.2505283,-2.7694714,-0.01238814
20100108T0000,2.9105287,-2.2494714,-0.41822132
20100109T0000,-0.059471346,-3.0494714,-1.6990548
20100110T0000,-1.2994714,-4.8694715,-3.3365552
20100111T0000,-1.6194713,-7.7394714,-4.035721
20100112T0000,1.3705287,-4.7794714,-2.0982213
20100113T0000,4.2805285,-1.2494713,1.5334454
20100114T0000,4.6605287,-0.6794713,1.5355287
20100115T0000,5.4905286,-1.1594714,1.6734451
20100116T0000,6.9805284,-2.5894713,2.7155285
20100117T0000,7.5805287,3.2905285,6.213445
20100118T0000,6.3405285,3.5505285,4.6213617
20100119T0000,5.5005283,-1.3594713,1.8976117
20100120T0000,6.4105287,-3.2694714,1.8871952
20100121T0000,6.3205285,0.60052866,4.1155286
20100122T0000,5.8605285,-0.43947133,2.3026118
20100123T0000,6.4005284,-2.7094715,0.9905286
20100124T0000,7.2505283,-0.42947134,3.3759453
20100125T0000,4.7005286,-0.26947135,2.5384452
20100126T0000,2.0405285,-2.4594715,-0.40322137
20100127T0000,1.0805286,-5.1494713,-1.7823879
20100128T0000,1.6105287,-1.9594713,0.16594534
20100129T0000,4.5805287,0.66052866,2.337612
20100130T0000,0.87052864,-3.0494714,-0.6090546
20100131T0000,1.4605286,-5.2894716,-2.1673882
20100201T0000,2.4305286,-5.2894716,-1.9632215
20100202T0000,4.3405285,-1.9994713,1.298862
20100203T0000,7.1605287,2.9205287,4.9459453
20100204T0000,9.030529,-1.6694714,4.357612
20100205T0000,7.9205284,2.2405286,4.9751124
20100206T0000,7.2005286,1.8105286,4.404279
20100207T0000,5.3305287,-0.11947135,2.702196
20100208T0000,4.8805285,-3.1394715,0.9663618
20100209T0000,5.4705286,-1.9494714,2.0221953
20100210T0000,0.23052865,-4.6294713,-2.7828045
20100211T0000,0.92052865,-6.4194713,-2.2682211
20100212T0000,1.1105287,-3.8594716,-1.112388
20100213T0000,1.9205287,-4.8894715,-1.446555
20100214T0000,4.1705284,-4.8494716,-0.989888
20100215T0000,2.2405286,-5.3594713,-1.8511382
20100216T0000,6.6205287,-4.6494713,0.77302843
